coach_id,country_id,cup_id,Coach Name
438,BOL,1930,SAUCEDO Ulises (BOL)
439,BRA,1930,DE CARVALHO Pindaro (BRA)
440,BOL,1930,SAUCEDO Ulises (BOL)
441,BRA,1930,DE CARVALHO Pindaro (BRA)
442,BOL,1930,SAUCEDO Ulises (BOL)
443,BRA,1930,DE CARVALHO Pindaro (BRA)
444,BRA,1930,DE CARVALHO Pindaro (BRA)
445,BRA,1930,DE CARVALHO Pindaro (BRA)
446,BRA,1930,DE CARVALHO Pindaro (BRA)
447,BRA,1930,DE CARVALHO Pindaro (BRA)
448,BRA,1930,DE CARVALHO Pindaro (BRA)
449,BRA,1930,DE CARVALHO Pindaro (BRA)
450,PAR,1930,DURAND LAGUNA Jose (ARG)
451,BEL,1930,GOETINCK Hector (BEL)
452,PAR,1930,DURAND LAGUNA Jose (ARG)
453,BEL,1930,GOETINCK Hector (BEL)
454,PAR,1930,DURAND LAGUNA Jose (ARG)
455,BEL,1930,GOETINCK Hector (BEL)
456,PAR,1930,DURAND LAGUNA Jose (ARG)
457,BEL,1930,GOETINCK Hector (BEL)
458,PAR,1930,DURAND LAGUNA Jose (ARG)
459,BEL,1930,GOETINCK Hector (BEL)
460,PAR,1930,DURAND LAGUNA Jose (ARG)
461,BEL,1930,GOETINCK Hector (BEL)
462,PAR,1930,DURAND LAGUNA Jose (ARG)
463,BEL,1930,GOETINCK Hector (BEL)
464,PAR,1930,DURAND LAGUNA Jose (ARG)
465,BEL,1930,GOETINCK Hector (BEL)
466,PAR,1930,DURAND LAGUNA Jose (ARG)
467,BEL,1930,GOETINCK Hector (BEL)
468,PAR,1930,DURAND LAGUNA Jose (ARG)
469,BEL,1930,GOETINCK Hector (BEL)
470,PAR,1930,DURAND LAGUNA Jose (ARG)
471,BEL,1930,GOETINCK Hector (BEL)
472,PAR,1930,DURAND LAGUNA Jose (ARG)
473,BEL,1930,GOETINCK Hector (BEL)
474,PAR,1930,DURAND LAGUNA Jose (ARG)
475,BEL,1930,GOETINCK Hector (BEL)
476,PAR,1930,DURAND LAGUNA Jose (ARG)
477,BEL,1930,GOETINCK Hector (BEL)
478,PAR,1930,DURAND LAGUNA Jose (ARG)
479,BEL,1930,GOETINCK Hector (BEL)
480,PAR,1930,DURAND LAGUNA Jose (ARG)
481,BEL,1930,GOETINCK Hector (BEL)
482,PAR,1930,DURAND LAGUNA Jose (ARG)
483,PAR,1930,DURAND LAGUNA Jose (ARG)
484,PAR,1930,DURAND LAGUNA Jose (ARG)
485,PAR,1930,DURAND LAGUNA Jose (ARG)
486,PAR,1930,DURAND LAGUNA Jose (ARG)
487,PAR,1930,DURAND LAGUNA Jose (ARG)
488,URU,1930,SUPPICI Alberto (URU)
489,ROU,1930,LUCHIDE Octav (ROU)
490,URU,1930,SUPPICI Alberto (URU)
491,ROU,1930,LUCHIDE Octav (ROU)
492,URU,1930,SUPPICI Alberto (URU)
493,ROU,1930,LUCHIDE Octav (ROU)
494,URU,1930,SUPPICI Alberto (URU)
495,ROU,1930,LUCHIDE Octav (ROU)
496,URU,1930,SUPPICI Alberto (URU)
497,ROU,1930,LUCHIDE Octav (ROU)
498,URU,1930,SUPPICI Alberto (URU)
499,ROU,1930,LUCHIDE Octav (ROU)
500,URU,1930,SUPPICI Alberto (URU)
501,ROU,1930,LUCHIDE Octav (ROU)
502,URU,1930,SUPPICI Alberto (URU)
503,ROU,1930,LUCHIDE Octav (ROU)
504,URU,1930,SUPPICI Alberto (URU)
505,ROU,1930,LUCHIDE Octav (ROU)
506,URU,1930,SUPPICI Alberto (URU)
507,ROU,1930,LUCHIDE Octav (ROU)
508,URU,1930,SUPPICI Alberto (URU)
509,ROU,1930,LUCHIDE Octav (ROU)
510,URU,1930,SUPPICI Alberto (URU)
511,ROU,1930,LUCHIDE Octav (ROU)
512,URU,1930,SUPPICI Alberto (URU)
513,ROU,1930,LUCHIDE Octav (ROU)
514,URU,1930,SUPPICI Alberto (URU)
515,ROU,1930,LUCHIDE Octav (ROU)
516,URU,1930,SUPPICI Alberto (URU)
517,ROU,1930,LUCHIDE Octav (ROU)
518,URU,1930,SUPPICI Alberto (URU)
519,URU,1930,SUPPICI Alberto (URU)
520,URU,1930,SUPPICI Alberto (URU)
521,URU,1930,SUPPICI Alberto (URU)
522,URU,1930,SUPPICI Alberto (URU)
523,URU,1930,SUPPICI Alberto (URU)
524,URU,1930,SUPPICI Alberto (URU)
525,ARG,1930,OLAZAR Francisco (ARG)
526,CHI,1930,ORTH Gyorgy (HUN)
527,ARG,1930,OLAZAR Francisco (ARG)
528,CHI,1930,ORTH Gyorgy (HUN)
529,ARG,1930,OLAZAR Francisco (ARG)
530,CHI,1930,ORTH Gyorgy (HUN)
531,ARG,1930,OLAZAR Francisco (ARG)
532,CHI,1930,ORTH Gyorgy (HUN)
533,ARG,1930,OLAZAR Francisco (ARG)
534,CHI,1930,ORTH Gyorgy (HUN)
535,ARG,1930,OLAZAR Francisco (ARG)
536,CHI,1930,ORTH Gyorgy (HUN)
537,ARG,1930,OLAZAR Francisco (ARG)
538,CHI,1930,ORTH Gyorgy (HUN)
539,ARG,1930,OLAZAR Francisco (ARG)
540,CHI,1930,ORTH Gyorgy (HUN)
541,ARG,1930,OLAZAR Francisco (ARG)
542,CHI,1930,ORTH Gyorgy (HUN)
543,ARG,1930,OLAZAR Francisco (ARG)
544,CHI,1930,ORTH Gyorgy (HUN)
545,ARG,1930,OLAZAR Francisco (ARG)
546,CHI,1930,ORTH Gyorgy (HUN)
547,ARG,1930,OLAZAR Francisco (ARG)
548,CHI,1930,ORTH Gyorgy (HUN)
549,ARG,1930,OLAZAR Francisco (ARG)
550,CHI,1930,ORTH Gyorgy (HUN)
551,ARG,1930,OLAZAR Francisco (ARG)
552,CHI,1930,ORTH Gyorgy (HUN)
553,ARG,1930,OLAZAR Francisco (ARG)
554,CHI,1930,ORTH Gyorgy (HUN)
555,ARG,1930,OLAZAR Francisco (ARG)
556,CHI,1930,ORTH Gyorgy (HUN)
557,ARG,1930,OLAZAR Francisco (ARG)
558,CHI,1930,ORTH Gyorgy (HUN)
559,ARG,1930,OLAZAR Francisco (ARG)
560,CHI,1930,ORTH Gyorgy (HUN)
561,ARG,1930,OLAZAR Francisco (ARG)
562,CHI,1930,ORTH Gyorgy (HUN)
